vote_id,chapter_id,user_id,vote_type
0e444985-906e-44d4-86fe-078ed15900bc,36937d4b-52d8-4a2c-ad04-cc6a8ebc6a68,866838c7-2acf-4c61-979a-1c3ed6ca3bb9,DOWNVOTE
e9457292-34a1-4ccd-bab9-6bec7e78892b,5d95e65d-c4a2-44a0-a9ee-9added338c64,937d60e6-f524-4a0c-895f-70e3d11cfdda,UPVOTE
3edd7510-363d-419b-984a-9fcb01a32b74,8830ce87-322e-46e6-bd40-9ca01afa645d,c63c71e1-b2d0-43b6-88b2-7725f5fc7540,DOWNVOTE
1d7744bf-094c-4bd7-8ed5-486452de6e2c,c4d015b7-3a94-4e55-bfe6-ca32abac84c7,8bfcc545-5535-4f9c-baec-c33084d2172b,DOWNVOTE
03721311-6be8-40e2-afb7-ce8040d2e068,df77623d-c2b7-4dfe-8f42-fbf70f08f9dc,3a0468b9-5fa5-48c6-bbff-c4080374062d,UPVOTE
c867b34b-b056-4ba4-9b21-c9dcd7a18ad2,639d9ad0-d134-422b-a179-d8422e37106f,d21db2b4-5e94-4b50-936a-dfae1147e9d9,UPVOTE
8fc8b5fd-398c-42df-9f00-4a9c5aa2deff,460f25f9-61b2-495f-b177-dc1c2a849c29,ff8b2323-66c5-4d47-9722-78526c591917,UPVOTE
825c7daf-4834-4a08-a550-fcd600f4fc33,c1612c7c-506d-4148-b5cf-91971eaedaa7,ee01beb5-2396-4465-9653-b0af14737233,DOWNVOTE
3cd7ddcc-e370-43e2-a0bc-ed446a530395,58c064b5-5524-4ac8-8547-b342746e9182,138066e6-9c56-4b8d-a400-550fb8824a5f,DOWNVOTE
15d7be18-0bca-4b72-ade5-71cd09116115,9a3237d3-b945-4f17-9f83-83ba513b4a57,9d615ed8-88a5-43cd-a021-e112710b472a,UPVOTE
51d86fc7-9db5-4b15-bd7c-ffd0df4d65ce,d73d8cea-6d83-4b9d-b316-5c44516ea4c5,63e2e639-c7d6-42d1-882b-6c632e8c80aa,DOWNVOTE
3e24ee94-b9ea-4435-90e3-377b20b80e9b,83e12768-1e91-4a25-aba3-c44d68f1f5b4,9695e5fa-036d-414d-bbd5-0047805f6669,UPVOTE
5569d437-454b-4629-a682-a73e00587af5,4b6f33b9-cb1e-496a-8474-c1d9a87da40f,d86bf344-0dc1-4940-9690-dabd5c30a458,UPVOTE
fdb9aa06-13b8-4e27-9768-3b519630d86f,873096bf-8115-4f7a-b9e0-c10b0f459766,bbcdd689-10aa-48c2-9131-f1b9fc1f28e4,UPVOTE
d0c4027e-50aa-4d91-b9e4-89a4c1eb0624,32c58f21-a19d-41ce-b49b-906fc43dbf88,30d5a546-52a8-40b2-830e-b587ce6baa06,UPVOTE
236f60ce-f778-4ca4-adf3-62270930dbe5,74cf1d9c-fa3f-40f2-9ad8-87a94c632c07,0d01ed21-831b-4a45-a5e7-b370e665e566,DOWNVOTE
50044a8f-af0e-432a-b3b4-4d446c00a00a,8b41acb8-07ef-4c57-a002-98c2a99e148d,cf54dd93-2a7b-4951-ae0e-271b54827398,DOWNVOTE
2ced2968-bf82-4afa-bf9f-c0e59131f73a,179ca979-620c-42f3-bdf9-aeb1a65f35f9,49dc09fc-3afc-477f-90be-7979dff4d01c,UPVOTE
c5c753cf-ab29-4fd2-a86d-03c33a72079d,9efdd7f7-7dce-4569-b6ec-8f19abc61cf1,8e0cf127-8585-45de-ade2-8be38fb03040,UPVOTE
5a70841a-e934-448a-92bb-cdf34b821d7e,5cff9438-eef0-43e2-bb76-298ac15bc0a8,c536afbd-e895-40b9-bba7-cde9cde3f354,UPVOTE
9afe49f6-b72a-4c76-8c5d-ec6fef00ec5b,ed3cb407-1bf0-4c3b-9941-e3a4253ea308,5b70f219-d3ea-44e1-955c-ce8d3d228e18,DOWNVOTE
386d6590-0d66-4720-847b-090f7021c316,a9916115-b461-40af-bb2c-29f947dd2f76,ad0a0475-78f9-489b-8940-2e587836fc08,DOWNVOTE
66b0fab1-04a4-40a2-988c-ff0890846c55,103690a4-f167-452f-87ab-cc4c2b7a1b3f,837e2d44-6cfd-495d-a3aa-6d6334231df8,DOWNVOTE
cb7e2ee7-48a5-499d-a30a-e277bff91788,9818f525-9185-4700-bed3-e9ca46e2ff41,795c68dc-5054-4ee6-825a-f0d5f402f278,DOWNVOTE
2fa21bd1-3f8a-4412-bc55-8da38c490a6e,067142d7-7c6f-4398-9749-235edadce775,483b8e65-1b12-4384-8ec7-439454ef5a11,DOWNVOTE
29f33e11-030d-4e21-a446-e308b9866f5a,58c064b5-5524-4ac8-8547-b342746e9182,a2ab71a7-dd28-4946-a61a-46a822e8b5b4,UPVOTE
2f30d59c-0cbb-43fc-8b07-48fa148893e6,58c064b5-5524-4ac8-8547-b342746e9182,1c41154b-5f59-4b52-abae-c77346250786,DOWNVOTE
00729c58-9ba7-45dd-93f8-c178fca3bacd,397900a2-5a62-40b4-8b64-ca941916f77c,c312811a-21ec-4396-8ed7-68d221b8505f,UPVOTE
7b117678-4039-4067-9e7a-732e4f618047,a2488016-d8b9-403e-b8cc-bb0a4dd4ea78,27a0a73e-67ce-4409-b165-889b5f8ecefe,DOWNVOTE
