genre_id,name
319449af-4cff-4314-9bb9-d9356b60ac1a,close
ea56ede2-9c99-4ff8-a869-a2c95d887452,eat
2c663bc9-7a44-4939-a6a8-db42d4afd2e8,executive
d8fb1420-b2c3-4b3f-adf3-2479617a6ff7,production
9af8f952-688a-4229-b932-1192f36b4a16,sometimes
b01b476c-9d79-47c0-a407-c23157d0eea7,phone
783c19ca-4f48-427a-98b9-b835f2cec367,cost
3b856ce7-aea6-4f29-ba1b-9cd0b6f2f468,country
1395b09d-8a41-4303-b2fe-c9ed096df122,leg
ccf8d34c-a6d2-4391-a21d-75c770cf7b88,consider
bcb7c02d-0364-4b54-96f6-eb51380d7902,type
9dd059da-fe25-4670-bb3d-bb5130a190cf,contain
dba3ebe8-ab8e-42f1-b74d-3330c6f868cf,current
0d27756a-1681-4bbd-91b0-53901df58a49,change
605da613-81d7-4e52-ac7f-0937d6880b72,I
a982df3f-ac8a-45ca-a588-405a23aaad60,Democrat
ad5c0c1c-7b34-4789-9c79-752668433810,else
067a4e1c-73df-43b9-8e63-9ee9811f2e48,sound
2bc37cb2-0d1b-476a-868d-a89cc0548b36,appear
65c09848-d0f3-4fda-b305-57f33a4b9245,system
